vrsta,otok,spol,prehrana,dob,zdravlje,godina,kljun_duljina,kljun_dubina,peraja_duljina,masa,visina
Adelie,Biscoe,muzjak,roditelji,pilic,pretili,2021,34.3,15.8,185,3923,59.23
Adelie,Biscoe,muzjak,roditelji,pilic,zdravi,2021,27.2,17.1,189,3744,57.44
Adelie,Biscoe,muzjak,roditelji,pilic,pothranjeni,2021,37.8,13.4,187,3156,51.56
Adelie,Biscoe,zenka,lignje,juvenilni,pothranjeni,2021,39.1,19.5,175,3499,54.99
Adelie,Biscoe,muzjak,lignje,odrasli,pretili,2021,45.5,19.3,230,5971,79.71
Adelie,Biscoe,muzjak,lignje,juvenilni,zdravi,2021,39,18.2,221,4884,68.84
Adelie,Dream,zenka,riba,juvenilni,pretili,2021,33.1,18.4,206,4870,68.7
Adelie,Dream,zenka,riba,juvenilni,pretili,2021,37.6,16.7,218,5372,73.72
Adelie,Dream,zenka,riba,juvenilni,pretili,2021,50.6,18.7,207,4955,69.55
Adelie,Dream,zenka,riba,odrasli,zdravi,2021,65.2,18,223,4681,66.81
Adelie,Dream,muzjak,riba,juvenilni,pretili,2021,51.7,19.7,232,5834,78.34
Adelie,Dream,muzjak,riba,odrasli,pretili,2021,45.1,18.9,258,7509,95.09
Adelie,Dream,muzjak,riba,juvenilni,pretili,2021,39.2,19,231,7184,91.84
Adelie,Dream,muzjak,riba,juvenilni,pretili,2021,61.8,17.9,212,5153,71.53
Adelie,Dream,muzjak,riba,juvenilni,pretili,2021,50.3,20.3,225,5475,74.75
Adelie,Dream,muzjak,riba,odrasli,pretili,2021,52.6,21.2,267,6818,88.18
Adelie,Dream,muzjak,riba,odrasli,zdravi,2021,62.9,16,249,5886,78.86
Adelie,Dream,zenka,kril,odrasli,zdravi,2021,26.3,18.6,202,4242,62.42
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,24,16.6,207,4029,60.29
Adelie,Dream,zenka,kril,odrasli,zdravi,2021,30,20.2,195,4400,64
Adelie,Dream,zenka,kril,juvenilni,pothranjeni,2021,18.2,17.4,179,3525,55.25
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,15.6,15.3,215,4121,61.21
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,23.5,15,196,3770,57.7
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,23.9,18,160,3837,58.37
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,27,13,191,3812,58.12
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,18.4,18.1,166,3777,57.77
Adelie,Dream,zenka,kril,odrasli,zdravi,2021,36.4,20.2,186,4317,63.17
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,28.5,19.8,197,3817,58.17
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,30.6,19,184,3889,58.89
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,22.4,19.3,179,3783,57.83
Adelie,Dream,zenka,kril,juvenilni,zdravi,2021,22.1,15.8,183,3870,58.7
Adelie,Dream,muzjak,kril,juvenilni,pretili,2021,29.7,14.8,188,5760,77.6
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,29,19,184,3977,59.77
Adelie,Dream,muzjak,kril,odrasli,zdravi,2021,32.6,22.8,197,5480,74.8
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,25.7,19.2,216,4000,60
Adelie,Dream,muzjak,kril,juvenilni,pretili,2021,21.9,18.6,224,5129,71.29
Adelie,Dream,muzjak,kril,juvenilni,zdravi,2021,36,14.7,214,4853,68.53
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,32,15.6,211,4195,61.95
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,32.1,19.6,207,4187,61.87
Adelie,Dream,muzjak,kril,juvenilni,zdravi,2021,25,17.2,181,5027,70.27
Adelie,Dream,muzjak,kril,juvenilni,zdravi,2021,28,19.5,197,4896,68.96
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,28,21.1,213,4314,63.14
Adelie,Dream,muzjak,kril,odrasli,zdravi,2021,30.2,22.7,226,5128,71.28
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,34.5,19,192,4447,64.47
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,38.1,20.4,216,4198,61.98
Adelie,Dream,muzjak,kril,juvenilni,zdravi,2021,29.8,22.8,186,4999,69.99
Adelie,Dream,muzjak,kril,juvenilni,pothranjeni,2021,32.1,17.7,197,4259,62.59
Adelie,Dream,muzjak,kril,odrasli,zdravi,2021,33.1,20.2,240,5581,75.81
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,33.8,16.6,168,3194,51.94
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,35.8,15.6,174,2977,49.77
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,23,16.7,157,3063,50.63
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,42.8,14.1,195,3061,50.61
Adelie,Dream,zenka,roditelji,pilic,pothranjeni,2021,38.1,14,181,2715,47.15
Adelie,Dream,zenka,roditelji,pilic,pretili,2021,27.1,13.7,179,3471,54.71
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,32.8,17,162,3196,51.96
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,29.8,17.2,184,3016,50.16
Adelie,Dream,zenka,roditelji,pilic,zdravi,2021,31.7,13.4,180,2955,49.55
Adelie,Dream,zenka,roditelji,pilic,pretili,2021,29.3,13.6,176,3265,52.65
Adelie,Dream,muzjak,roditelji,pilic,zdravi,2021,35.5,15.3,184,3678,56.78
Adelie,Dream,muzjak,roditelji,pilic,zdravi,2021,44.6,16.5,185,3411,54.11
Adelie,Dream,zenka,lignje,odrasli,zdravi,2021,38.7,19.7,232,4885,68.85
Adelie,Dream,muzjak,lignje,odrasli,zdravi,2021,40.7,21.8,219,5718,77.18
Adelie,Dream,muzjak,lignje,odrasli,pretili,2021,43.6,18.6,208,6896,88.96
Adelie,Dream,muzjak,lignje,odrasli,pretili,2021,42.1,20.2,240,6157,81.57
Adelie,Dream,muzjak,lignje,odrasli,pretili,2021,37.7,23.8,214,6280,82.8
Adelie,Torgensen,zenka,riba,juvenilni,pretili,2021,44.1,17.2,209,5344,73.44
Adelie,Torgensen,zenka,riba,juvenilni,pretili,2021,40.6,18,209,5121,71.21
Adelie,Torgensen,zenka,riba,odrasli,pretili,2021,49.2,16.6,224,5126,71.26
Adelie,Torgensen,zenka,riba,odrasli,zdravi,2021,52.6,19.5,255,4995,69.95
Adelie,Torgensen,zenka,riba,odrasli,pretili,2021,45.4,14.7,254,5732,77.32
Adelie,Torgensen,muzjak,riba,odrasli,pretili,2021,43.4,14.5,267,6476,84.76
Adelie,Torgensen,muzjak,riba,juvenilni,pretili,2021,52.5,23.2,212,6019,80.19
Adelie,Torgensen,muzjak,riba,odrasli,zdravi,2021,63.2,22.4,271,5496,74.96
Adelie,Torgensen,muzjak,riba,juvenilni,pretili,2021,34.8,21,259,6064,80.64
Adelie,Torgensen,muzjak,riba,odrasli,pretili,2021,48.5,17.4,255,7028,90.28
Adelie,Torgensen,muzjak,riba,odrasli,pretili,2021,65.2,16.9,240,6735,87.35
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,21.8,18.1,177,4146,61.46
Adelie,Torgensen,zenka,kril,odrasli,pothranjeni,2021,27,17.3,194,3973,59.73
Adelie,Torgensen,muzjak,kril,juvenilni,pothranjeni,2021,28.8,17.7,213,4301,63.01
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,24.6,19.9,196,4272,62.72
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,26.4,21.5,193,3966,59.66
Adelie,Torgensen,zenka,kril,odrasli,zdravi,2021,24.9,21.2,217,4716,67.16
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,28.6,18.5,180,3826,58.26
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,19.8,17.6,166,3713,57.13
Adelie,Torgensen,zenka,kril,juvenilni,zdravi,2021,33.1,17.2,179,3822,58.22
Adelie,Torgensen,zenka,kril,juvenilni,pothranjeni,2021,29.2,17.2,200,3598,55.98
Adelie,Torgensen,zenka,kril,juvenilni,pothranjeni,2021,21.9,17.2,172,3615,56.15
Adelie,Torgensen,zenka,kril,odrasli,pretili,2021,31.6,18.6,205,5467,74.67
Adelie,Torgensen,zenka,kril,odrasli,pretili,2021,23,18.1,192,5110,71.1
Adelie,Torgensen,muzjak,kril,odrasli,pothranjeni,2021,26.7,17.7,229,4103,61.03
Adelie,Torgensen,muzjak,kril,juvenilni,zdravi,2021,32.3,15,178,4784,67.84
Adelie,Torgensen,muzjak,kril,odrasli,pretili,2021,23,19.8,221,6440,84.4
Adelie,Torgensen,muzjak,kril,odrasli,pothranjeni,2021,31,20.6,218,4968,69.68
Adelie,Torgensen,muzjak,kril,odrasli,pothranjeni,2021,28.3,21.2,214,5041,70.41
Adelie,Torgensen,muzjak,kril,juvenilni,zdravi,2021,21.8,21.3,225,4815,68.15
Adelie,Torgensen,muzjak,kril,odrasli,zdravi,2021,37.6,21.8,233,5541,75.41
Adelie,Torgensen,muzjak,kril,juvenilni,pothranjeni,2021,18,14.4,208,3801,58.01
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,35.9,13.9,168,3148,51.48
Adelie,Torgensen,zenka,roditelji,pilic,pretili,2021,27,13.6,172,3234,52.34
Adelie,Torgensen,zenka,roditelji,pilic,pretili,2021,26.6,13.8,201,3246,52.46
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,29.1,13.5,170,3004,50.04
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,31.1,18.7,169,2927,49.27
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,29.3,12.6,162,2982,49.82
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,35.1,14.7,171,3110,51.1
Adelie,Torgensen,zenka,roditelji,pilic,zdravi,2021,29.3,11.6,169,3055,50.55
Adelie,Torgensen,muzjak,roditelji,pilic,pothranjeni,2021,36.8,14,192,3155,51.55
Adelie,Torgensen,muzjak,roditelji,pilic,pretili,2021,26.3,16.6,163,3939,59.39
Adelie,Torgensen,muzjak,roditelji,pilic,pretili,2021,39.2,18.5,184,4068,60.68
Adelie,Torgensen,muzjak,roditelji,pilic,zdravi,2021,32.6,13.7,173,3623,56.23
Adelie,Torgensen,muzjak,roditelji,pilic,pothranjeni,2021,34,19.6,208,3347,53.47
Adelie,Torgensen,muzjak,roditelji,pilic,pretili,2021,35.9,16.8,194,4113,61.13
Adelie,Torgensen,muzjak,lignje,juvenilni,zdravi,2021,45,16.8,228,4846,68.46
Adelie,Torgensen,muzjak,lignje,juvenilni,zdravi,2021,44.7,16.3,204,5096,70.96
Adelie,Torgensen,muzjak,lignje,odrasli,pothranjeni,2021,41.1,21.5,266,4414,64.14
Chinstrap,Dream,zenka,riba,odrasli,pretili,2021,60.4,15.1,220,7061,90.61
Chinstrap,Dream,zenka,riba,odrasli,zdravi,2021,50.9,18.5,235,5469,74.69
Chinstrap,Dream,zenka,riba,odrasli,zdravi,2021,49.3,22.5,236,5080,70.8
Chinstrap,Dream,zenka,riba,juvenilni,pretili,2021,38.8,17.8,195,4830,68.3
Chinstrap,Dream,zenka,riba,odrasli,pretili,2021,54.3,22,236,6431,84.31
Chinstrap,Dream,zenka,riba,odrasli,pretili,2021,59.9,23.3,213,6305,83.05
Chinstrap,Dream,zenka,riba,juvenilni,pretili,2021,56.2,19.2,191,5473,74.73
Chinstrap,Dream,zenka,riba,juvenilni,zdravi,2021,53.4,20.3,204,4543,65.43
Chinstrap,Dream,muzjak,riba,odrasli,pretili,2021,54.5,20,257,6628,86.28
Chinstrap,Dream,muzjak,riba,odrasli,pretili,2021,59.3,20.4,299,7212,92.12
Chinstrap,Dream,muzjak,riba,odrasli,pretili,2021,70.9,25.4,253,6798,87.98
Chinstrap,Dream,muzjak,riba,juvenilni,pretili,2021,62.1,17.5,232,5848,78.48
Chinstrap,Dream,muzjak,riba,juvenilni,pretili,2021,62.9,16.4,246,6423,84.23
Chinstrap,Dream,muzjak,riba,odrasli,pretili,2021,62.1,20.3,269,7121,91.21
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,21.5,17.1,162,3947,59.47
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,30.2,15.4,190,4103,61.03
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,26.7,20,186,3745,57.45
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,25.7,21.4,180,3140,51.4
Chinstrap,Dream,zenka,kril,odrasli,zdravi,2021,26.2,17.2,189,5080,70.8
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,23.1,22.3,202,4478,64.78
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,28.3,19.5,180,3766,57.66
Chinstrap,Dream,zenka,kril,odrasli,pothranjeni,2021,35.9,20.5,198,4197,61.97
Chinstrap,Dream,zenka,kril,odrasli,pothranjeni,2021,31.1,17,194,4458,64.58
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,23.6,14.7,187,4157,61.57
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,27.9,17.9,188,3579,55.79
Chinstrap,Dream,zenka,kril,odrasli,zdravi,2021,42.2,19.7,195,5038,70.38
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,33.8,17.4,169,3977,59.77
Chinstrap,Dream,zenka,kril,odrasli,zdravi,2021,34.1,20.1,218,4528,65.28
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,27.3,16.6,190,3794,57.94
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,28.4,17.6,191,3987,59.87
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,28.5,18,172,3804,58.04
Chinstrap,Dream,zenka,kril,juvenilni,pothranjeni,2021,30.8,23.1,179,3403,54.03
Chinstrap,Dream,zenka,kril,juvenilni,pretili,2021,30.8,13.5,186,4780,67.8
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,18.7,18.8,169,4079,60.79
Chinstrap,Dream,zenka,kril,odrasli,pretili,2021,29.5,20.2,194,5781,77.81
Chinstrap,Dream,zenka,kril,juvenilni,zdravi,2021,31.4,18,173,3946,59.46
Chinstrap,Dream,muzjak,kril,juvenilni,zdravi,2021,28.5,20,225,4705,67.05
Chinstrap,Dream,muzjak,kril,odrasli,pothranjeni,2021,34,21.4,215,4634,66.34
Chinstrap,Dream,muzjak,kril,juvenilni,zdravi,2021,31.8,19.6,194,4822,68.22
Chinstrap,Dream,muzjak,kril,odrasli,zdravi,2021,30.8,19.7,213,6254,82.54
Chinstrap,Dream,muzjak,kril,odrasli,pothranjeni,2021,32.2,20.7,254,4779,67.79
Chinstrap,Dream,muzjak,kril,juvenilni,pothranjeni,2021,35.1,18.5,215,4591,65.91
Chinstrap,Dream,muzjak,kril,juvenilni,pretili,2021,27.7,20.4,222,5602,76.02
Chinstrap,Dream,muzjak,kril,odrasli,pothranjeni,2021,33.4,21.4,206,5189,71.89
Chinstrap,Dream,muzjak,kril,juvenilni,pothranjeni,2021,27.4,16.5,201,3973,59.73
Chinstrap,Dream,muzjak,kril,juvenilni,pothranjeni,2021,28.7,18.8,217,4505,65.05
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,32.3,16.2,171,2963,49.63
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,33.4,11.7,163,3071,50.71
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,32.7,20,184,3089,50.89
Chinstrap,Dream,zenka,roditelji,pilic,pretili,2021,31.9,14.5,166,3732,57.32
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,32.6,13.7,159,3392,53.92
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,30.6,18.3,174,3170,51.7
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,30.3,13.7,175,3312,53.12
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,32.4,16.4,178,3430,54.3
Chinstrap,Dream,zenka,roditelji,pilic,zdravi,2021,24,13.7,183,3272,52.72
Chinstrap,Dream,muzjak,roditelji,pilic,pothranjeni,2021,33.4,16.1,200,3522,55.22
Chinstrap,Dream,muzjak,roditelji,pilic,pothranjeni,2021,31.5,15.4,171,3528,55.28
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,29.2,19.6,192,3859,58.59
Chinstrap,Dream,muzjak,roditelji,pilic,pothranjeni,2021,36.6,16.9,190,3549,55.49
Chinstrap,Dream,muzjak,roditelji,pilic,pothranjeni,2021,44.1,17.2,208,3588,55.88
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,31,16.9,195,3765,57.65
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,35.9,16.2,184,3611,56.11
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,31.8,16.3,181,3914,59.14
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,39.9,17,161,3829,58.29
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,38.3,11.1,170,3972,59.72
Chinstrap,Dream,muzjak,roditelji,pilic,zdravi,2021,36.1,16.7,184,3692,56.92
Chinstrap,Dream,zenka,lignje,odrasli,zdravi,2021,38.5,18.5,219,5464,74.64
Chinstrap,Dream,muzjak,lignje,juvenilni,zdravi,2021,40.8,17.8,192,5345,73.45
Chinstrap,Dream,muzjak,lignje,odrasli,pretili,2021,53.4,23.4,221,7663,96.63
Chinstrap,Dream,muzjak,lignje,odrasli,zdravi,2021,64.1,17.9,219,5762,77.62
Gentoo,Biscoe,zenka,riba,odrasli,zdravi,2021,51.3,23.3,231,5536,75.36
Gentoo,Biscoe,zenka,riba,odrasli,zdravi,2021,56.8,20.6,246,5718,77.18
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,66.5,24,259,6711,87.11
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,56.9,21.6,204,6499,84.99
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,50.2,18.7,214,5733,77.33
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,42.9,18.8,192,5174,71.74
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,48,20,246,5118,71.18
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,51.8,21.2,212,5297,72.97
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,61.4,22,231,6412,84.12
Gentoo,Biscoe,zenka,riba,odrasli,zdravi,2021,40.5,21.5,239,5883,78.83
Gentoo,Biscoe,zenka,riba,odrasli,zdravi,2021,73.6,21.1,245,5092,70.92
Gentoo,Biscoe,zenka,riba,odrasli,zdravi,2021,70.7,22.4,251,6072,80.72
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,71.9,19.7,243,6882,88.82
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,55.4,18,238,7492,94.92
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,47.1,19.4,220,4919,69.19
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,55.9,19,260,6275,82.75
Gentoo,Biscoe,zenka,riba,juvenilni,zdravi,2021,62.4,16,250,4356,63.56
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,62.4,24.2,204,7023,90.23
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,47.9,12.4,235,5701,77.01
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,57.7,22.2,250,7281,92.81
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,66.5,18.9,238,7521,95.21
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,65,19.4,242,6492,84.92
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,69.7,21.9,202,7522,95.22
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,60.5,25.7,274,6907,89.07
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,65.8,20.4,212,5122,71.22
Gentoo,Biscoe,zenka,riba,juvenilni,pretili,2021,49.9,17,245,5555,75.55
Gentoo,Biscoe,zenka,riba,odrasli,pretili,2021,49,20.9,250,7035,90.35
Gentoo,Biscoe,zenka,riba,juvenilni,zdravi,2021,49.7,18.4,213,4849,68.49
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,47.6,15.6,247,6343,83.43
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,57.9,18.7,226,6333,83.33
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,46.9,19.6,248,7041,90.41
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,48.9,20.7,238,6418,84.18
Gentoo,Biscoe,muzjak,riba,juvenilni,zdravi,2021,56.9,24.1,250,5729,77.29
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,46.2,23.2,229,5908,79.08
Gentoo,Biscoe,muzjak,riba,juvenilni,pothranjeni,2021,62.5,15.7,229,4686,66.86
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,53.2,24.3,270,8754,107.54
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,66.8,20.8,247,7598,95.98
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,60.3,19.9,259,7350,93.5
Gentoo,Biscoe,muzjak,riba,odrasli,zdravi,2021,58.7,23.2,249,7082,90.82
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,49.5,19.5,222,6059,80.59
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,88.2,22.6,249,8873,108.73
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,71.5,24,267,7926,99.26
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,58.5,26.6,296,8635,106.35
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,60.8,22.9,254,8489,104.89
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,63.8,19.8,247,6342,83.42
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,50.3,18.9,251,7279,92.79
Gentoo,Biscoe,muzjak,riba,odrasli,pretili,2021,59.2,19,260,10415,124.15
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,45,19.2,228,6217,82.17
Gentoo,Biscoe,muzjak,riba,juvenilni,pretili,2021,52.9,19.5,233,6845,88.45
Gentoo,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,24.4,19.2,161,3945,59.45
Gentoo,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,22.7,22.8,182,3873,58.73
Gentoo,Biscoe,zenka,kril,juvenilni,pretili,2021,26.9,19.9,167,5009,70.09
Gentoo,Biscoe,zenka,kril,juvenilni,zdravi,2021,27.6,20,196,4192,61.92
Gentoo,Biscoe,zenka,kril,juvenilni,pothranjeni,2021,25.1,20.1,176,3713,57.13
Gentoo,Biscoe,zenka,kril,juvenilni,zdravi,2021,24.3,19.3,192,4161,61.61
Gentoo,Biscoe,zenka,kril,odrasli,pothranjeni,2021,27.7,20.5,219,4653,66.53
Gentoo,Biscoe,zenka,kril,odrasli,pothranjeni,2021,44.9,21.2,206,4889,68.89
Gentoo,Biscoe,zenka,kril,odrasli,zdravi,2021,26.2,21.5,228,5547,75.47
Gentoo,Biscoe,zenka,kril,odrasli,zdravi,2021,35.8,20.9,231,5549,75.49
